Algorithm,Cycle,Quality,BPP,FID,BD-rate
VVC,N/A,24,0.998549567328559,9.043552187891407,
VVC,N/A,28,0.655289543999566,19.527256927991175,
VVC,N/A,32,0.40592108832465285,30.558202640961497,
VVC,N/A,36,0.23140292697482642,53.54667682814693,
VVC,N/A,40,0.1251313951280382,79.65180147389276,
CRDR,First,0.0,0.10949028862847221,72.94905171920351,-33.75%
CRDR,Second,0.0,0.09012518988715278,118.41915518231895,3.37%
CRDR,Third,0.0,0.07988484700520834,153.8939057269801,28.18%
CRDR,Fourth,0.0,0.0727810329861111,177.10879762967187,51.94%
CRDR,First,1.0,0.204345703125,41.512489147832355,-33.75%
CRDR,Second,1.0,0.17537095811631945,68.69280623760477,3.37%
CRDR,Third,1.0,0.15900675455729166,85.71985803527747,28.18%
CRDR,Fourth,1.0,0.14771525065104166,107.06172272865365,51.94%
CRDR,First,2.0,0.40242852105034715,21.767960786042067,-33.75%
CRDR,Second,2.0,0.36499701605902773,37.224778534018014,3.37%
CRDR,Third,2.0,0.3426547580295139,47.68429909768423,28.18%
CRDR,Fourth,2.0,0.3273179796006944,57.23957916576586,51.94%
CRDR,First,3.0,0.732876247829861,8.420805877814189,-33.75%
CRDR,Second,3.0,0.6896328396267362,16.481660526703138,3.37%
CRDR,Third,3.0,0.6649881998697916,23.801045105132744,28.18%
CRDR,Fourth,3.0,0.6488477918836807,28.87538720202508,51.94%
CRDR,First,4.0,1.0503336588541667,4.389863686066974,-33.75%
CRDR,Second,4.0,0.998077392578125,8.554002025119019,3.37%
CRDR,Third,4.0,0.9723375108506943,13.267696859803493,28.18%
CRDR,Fourth,4.0,0.9567226833767362,16.962838767559163,51.94%
