Algorithm,Mean L1 Distance (KB)
CRDR Beta 0.0,828.0766088867188
CRDR Beta 0.64,465.4162878417969
CRDR Beta 1.28,406.66335205078127
CRDR Beta 2.56,263.48302490234374
CRDR Beta 3.84,160.6303369140625
CRDR Beta 5.12,189.72375610351563
HiFiC-Med,344.2948278808594
Hyperprior,1125.7367150878906
JPEG Q=70,908.9491674804688
JPEG Q=50,1255.9976977539063
MRIC Beta 0.0,359.26340942382814
MRIC Beta 2.56,637.4848974609375
