Algorithm,Cycle,Quality,BPP,FID,BD-rate
JPEG,N/A,10,0.32658894856770837,79.19703637251672,
JPEG,N/A,30,0.6597925821940104,24.067289284463868,
JPEG,N/A,50,0.9055209689670138,10.935234649771814,
JPEG,N/A,70,1.2387576633029516,5.592662331968086,
JPEG,N/A,90,2.3463228013780384,1.3499109589228055,
CRDR,First,0.0,0.10949028862847221,31.307471897356493,-73.47%
CRDR,Second,0.0,0.10191853841145833,45.840552706286985,-66.95%
CRDR,Third,0.0,0.09778849283854167,58.028540169776534,-67.27%
CRDR,Fourth,0.0,0.09510294596354167,69.66551009173156,-66.10%
CRDR,First,1.0,0.204345703125,16.49993498472162,-73.47%
CRDR,Second,1.0,0.19625515407986108,27.32607524760175,-66.95%
CRDR,Third,1.0,0.19249131944444442,32.070801885985816,-67.27%
CRDR,Fourth,1.0,0.18985663519965276,37.96911118951459,-66.10%
CRDR,First,2.0,0.40242852105034715,10.062307332298758,-73.47%
CRDR,Second,2.0,0.3937818739149306,14.206032873982508,-66.95%
CRDR,Third,2.0,0.3899671766493055,17.37574585698553,-67.27%
CRDR,Fourth,2.0,0.3878343370225695,19.916685752939088,-66.10%
CRDR,First,3.0,0.732876247829861,4.542622360081793,-73.47%
CRDR,Second,3.0,0.7231479220920138,6.550008096183774,-66.95%
CRDR,Third,3.0,0.719723171657986,8.663025541780428,-67.27%
CRDR,Fourth,3.0,0.7181871202256945,10.263079645625282,-66.10%
CRDR,First,4.0,1.0503336588541667,2.867104890575888,-73.47%
CRDR,Second,4.0,1.0407240125868056,4.443628026388069,-66.95%
CRDR,Third,4.0,1.0383199055989583,5.792570593367884,-67.27%
CRDR,Fourth,4.0,1.0375467936197917,7.059979101796785,-66.10%
