Algorithm,Cycle,Quality,BPP,PSNR,BD-rate
JPEG,N/A,10,0.32658894856770837,26.67182159423828,
JPEG,N/A,30,0.6597925821940104,30.491470336914062,
JPEG,N/A,50,0.9055209689670138,32.1738166809082,
JPEG,N/A,70,1.2387576633029516,33.916748046875,
JPEG,N/A,90,2.3463228013780384,38.033973693847656,
CRDR,First,0.0,0.10949028862847221,28.13161277770996,-62.71%
CRDR,Second,0.0,0.09012518988715278,26.763853073120117,-56.73%
CRDR,Third,0.0,0.07988484700520834,25.923131942749023,-49.83%
CRDR,Fourth,0.0,0.0727810329861111,25.28809356689453,-43.17%
CRDR,First,1.0,0.204345703125,30.230606079101562,-62.71%
CRDR,Second,1.0,0.17537095811631945,28.765344619750977,-56.73%
CRDR,Third,1.0,0.15900675455729166,27.838651657104492,-49.83%
CRDR,Fourth,1.0,0.14771525065104166,27.15519142150879,-43.17%
CRDR,First,2.0,0.40242852105034715,32.93925476074219,-62.71%
CRDR,Second,2.0,0.36499701605902773,31.488967895507812,-56.73%
CRDR,Third,2.0,0.3426547580295139,30.5261173248291,-49.83%
CRDR,Fourth,2.0,0.3273179796006944,29.79667091369629,-43.17%
CRDR,First,3.0,0.732876247829861,35.790042877197266,-62.71%
CRDR,Second,3.0,0.6896328396267362,34.39023208618164,-56.73%
CRDR,Third,3.0,0.6649881998697916,33.392486572265625,-49.83%
CRDR,Fourth,3.0,0.6488477918836807,32.59577941894531,-43.17%
CRDR,First,4.0,1.0503336588541667,37.63809585571289,-62.71%
CRDR,Second,4.0,0.998077392578125,36.13330078125,-56.73%
CRDR,Third,4.0,0.9723375108506943,35.0311279296875,-49.83%
CRDR,Fourth,4.0,0.9567226833767362,34.11011505126953,-43.17%
