Algorithm,Cycle,Quality,BPP,PSNR,BD-rate
JPEG,N/A,10,0.32658894856770837,26.67182159423828,
JPEG,N/A,30,0.6597925821940104,30.491470336914062,
JPEG,N/A,50,0.9055209689670138,32.1738166809082,
JPEG,N/A,70,1.2387576633029516,33.916748046875,
JPEG,N/A,90,2.3463228013780384,38.033973693847656,
CRDR,First,0.0,0.10949028862847221,27.674161911010742,-59.59%
CRDR,Second,0.0,0.10191853841145833,26.79850959777832,-53.69%
CRDR,Third,0.0,0.09778849283854167,26.164724349975586,-47.48%
CRDR,Fourth,0.0,0.09510294596354167,25.681411743164062,-41.45%
CRDR,First,1.0,0.204345703125,29.774972915649414,-59.59%
CRDR,Second,1.0,0.19625515407986108,28.844789505004883,-53.69%
CRDR,Third,1.0,0.19249131944444442,28.206947326660156,-47.48%
CRDR,Fourth,1.0,0.18985663519965276,27.700063705444336,-41.45%
CRDR,First,2.0,0.40242852105034715,32.4724235534668,-59.59%
CRDR,Second,2.0,0.3937818739149306,31.56488609313965,-53.69%
CRDR,Third,2.0,0.3899671766493055,30.929555892944336,-47.48%
CRDR,Fourth,2.0,0.3878343370225695,30.42266845703125,-41.45%
CRDR,First,3.0,0.732876247829861,35.30098342895508,-59.59%
CRDR,Second,3.0,0.7231479220920138,34.35295104980469,-53.69%
CRDR,Third,3.0,0.719723171657986,33.650569915771484,-47.48%
CRDR,Fourth,3.0,0.7181871202256945,33.04164505004883,-41.45%
CRDR,First,4.0,1.0503336588541667,37.00590515136719,-59.59%
CRDR,Second,4.0,1.0407240125868056,35.92131042480469,-53.69%
CRDR,Third,4.0,1.0383199055989583,35.06453323364258,-47.48%
CRDR,Fourth,4.0,1.0375467936197917,34.27999496459961,-41.45%
