Algorithm,Cycle,Quality,BPP,FID,BD-rate
JPEG,N/A,10,0.32658894856770837,79.19703637251672,
JPEG,N/A,30,0.6597925821940104,24.067289284463868,
JPEG,N/A,50,0.9055209689670138,10.935234649771814,
JPEG,N/A,70,1.2387576633029516,5.592662331968086,
JPEG,N/A,90,2.3463228013780384,1.3499109589228055,
CRDR,First,0.0,0.10949028862847221,72.94714352324024,-61.58%
CRDR,Second,0.0,0.09012518988715278,118.41422387244967,-44.54%
CRDR,Third,0.0,0.07988484700520834,153.8879262990258,-34.33%
CRDR,Fourth,0.0,0.0727810329861111,177.1080581344233,-25.23%
CRDR,First,1.0,0.204345703125,41.510643680402154,-61.58%
CRDR,Second,1.0,0.17537095811631945,68.69038039769782,-44.54%
CRDR,Third,1.0,0.15900675455729166,85.7166645769484,-34.33%
CRDR,Fourth,1.0,0.14771525065104166,107.05863590496512,-25.23%
CRDR,First,2.0,0.40242852105034715,21.769015446653498,-61.58%
CRDR,Second,2.0,0.36499701605902773,37.22287860056679,-44.54%
CRDR,Third,2.0,0.3426547580295139,47.682689016017605,-34.33%
CRDR,Fourth,2.0,0.3273179796006944,57.23739310774408,-25.23%
CRDR,First,3.0,0.732876247829861,8.421329541636567,-61.58%
CRDR,Second,3.0,0.6896328396267362,16.481451391026553,-44.54%
CRDR,Third,3.0,0.6649881998697916,23.800242230731612,-34.33%
CRDR,Fourth,3.0,0.6488477918836807,28.874861896816924,-25.23%
CRDR,First,4.0,1.0503336588541667,4.389653470398116,-61.58%
CRDR,Second,4.0,0.998077392578125,8.554379247928296,-44.54%
CRDR,Third,4.0,0.9723375108506943,13.266899818476475,-34.33%
CRDR,Fourth,4.0,0.9567226833767362,16.96203261219665,-25.23%
