Algorithm,Configuration,Quality,BPP,FID
CRDR,High,0.0,0.10949028862847221,29.591198726411733
CRDR,Low,0.0,0.10949028862847221,72.94905171920351
CRDR,High-High,0.0,0.10505167643229167,16.37611284560984
CRDR,Low-Low,0.0,0.09012518988715278,42.51753206782786
CRDR,High-Low,0.0,0.10505167643229167,62.99062483878788
CRDR,Low-High,0.0,0.09012179904513888,27.692474138416742
CRDR,High,1.0,0.204345703125,15.731906977584345
CRDR,Low,1.0,0.204345703125,41.512489147832355
CRDR,High-High,1.0,0.20014784071180558,9.338637024689717
CRDR,Low-Low,1.0,0.17537095811631945,19.893525960827844
CRDR,High-Low,1.0,0.20014784071180558,36.51735139261598
CRDR,Low-High,1.0,0.17537095811631945,13.376023680573894
CRDR,High,2.0,0.40242852105034715,10.065126380774814
CRDR,Low,2.0,0.40242852105034715,21.767960786042067
CRDR,High-High,2.0,0.3984578450520833,4.908891937565954
CRDR,Low-Low,2.0,0.36499701605902773,10.49955627438851
CRDR,High-Low,2.0,0.3984578450520833,18.476612491819424
CRDR,Low-High,2.0,0.3650004069010417,7.00714055948248
CRDR,High,3.0,0.732876247829861,4.555977105641375
CRDR,Low,3.0,0.732876247829861,8.420805877814189
CRDR,High-High,3.0,0.728908962673611,2.56336763149676
CRDR,Low-Low,3.0,0.6896328396267362,5.22353571468301
CRDR,High-Low,3.0,0.728908962673611,7.836886694631119
CRDR,Low-High,3.0,0.6896328396267362,3.836242583048488
CRDR,High,4.0,1.0503336588541667,2.9626209990123016
CRDR,Low,4.0,1.0503336588541667,4.389863686066974
CRDR,High-High,4.0,1.0500895182291667,1.689205864695282
CRDR,Low-Low,4.0,0.998077392578125,2.6582685099183436
CRDR,High-Low,4.0,1.0500895182291667,3.5361203493245625
CRDR,Low-High,4.0,0.9980740017361112,2.0859184197788636
