Image Name,PNG Size,CRDR Beta 0.0,CRDR Beta 0.64,CRDR Beta 1.28,CRDR Beta 2.56,CRDR Beta 3.84,CRDR Beta 5.12,HiFiC-Med,Hyperprior,JPEG Quality 70,JPEG Quality 50,MRIC Beta 0.0,MRIC Beta 2.56
0360.png,5557935.0,4803399.0,5327795.0,5414100.0,5659922.0,5887382.0,6109267.0,5704219.0,4447615.0,4994602.0,4580755.0,5517678.0,6180411.0
0361.png,5752654.0,4787694.0,5147400.0,5217108.0,5413398.0,5643915.0,5896238.0,5320251.0,4566851.0,4910310.0,4578057.0,5158189.0,5852698.0
0362.png,4794003.0,3558985.0,4055185.0,4145173.0,4387520.0,4644809.0,4889728.0,4248194.0,3112909.0,3501152.0,3030040.0,4110970.0,5027983.0
0363.png,6030026.0,5009533.0,5346342.0,5417082.0,5605063.0,5815115.0,5975450.0,5352550.0,4284195.0,5052327.0,4225837.0,5226385.0,6569383.0
0364.png,2741502.0,1823279.0,2360931.0,2413142.0,2567424.0,2739883.0,2905748.0,2681748.0,1521842.0,1061492.0,862883.0,3017113.0,3245795.0
0365.png,3265609.0,2543742.0,2902850.0,2950455.0,3087168.0,3228571.0,3364784.0,3058959.0,2258248.0,2257275.0,2001350.0,3117017.0,3609820.0
0366.png,5149142.0,3546150.0,4232359.0,4337161.0,4597341.0,4874111.0,5111550.0,4611262.0,3332042.0,4252041.0,3765424.0,4775811.0,5621012.0
0367.png,3717251.0,3212277.0,3506588.0,3557185.0,3690600.0,3816983.0,3953386.0,3548061.0,2976805.0,3068521.0,2814015.0,4155849.0,4624344.0
0368.png,2772052.0,2357985.0,2712353.0,2762352.0,2911326.0,3063053.0,3236226.0,2870913.0,2128971.0,1723919.0,1479507.0,3525553.0,3821866.0
0369.png,5063402.0,3782065.0,4297190.0,4387269.0,4634820.0,4879972.0,5111450.0,4386519.0,3125552.0,3514745.0,3016951.0,4303409.0,5674094.0
0370.png,5973365.0,5516609.0,5734224.0,5774905.0,5886836.0,6026523.0,6162606.0,5695311.0,5396764.0,5765622.0,5506427.0,6293784.0,6917572.0
0371.png,3415366.0,2779743.0,3234119.0,3297234.0,3468852.0,3646321.0,3836789.0,3426274.0,2473759.0,2315071.0,1973538.0,3992447.0,4609920.0
0372.png,6043022.0,5790285.0,5873886.0,5900005.0,5960130.0,6014565.0,6057652.0,5299768.0,5127692.0,5891464.0,5670371.0,5765960.0,6726839.0
0373.png,3414866.0,2336286.0,3006091.0,3088443.0,3284429.0,3479815.0,3709035.0,3299971.0,2057350.0,2320668.0,1839464.0,3747851.0,4138848.0
0374.png,4614674.0,3563297.0,4130008.0,4217889.0,4452147.0,4675258.0,4867304.0,4489830.0,3199781.0,3371835.0,2875771.0,4518968.0,5160430.0
0375.png,4664413.0,3947736.0,4246132.0,4294637.0,4426397.0,4583935.0,4774152.0,4207676.0,3533831.0,3818125.0,3622904.0,4786007.0,5442870.0
0376.png,3187017.0,2188670.0,2761726.0,2848169.0,3059024.0,3236300.0,3395970.0,3115092.0,2027601.0,2068557.0,1721086.0,3316330.0,3693552.0
0377.png,6260306.0,5911208.0,6000192.0,6035584.0,6128845.0,6240884.0,6363460.0,5749323.0,5422501.0,6189217.0,5938966.0,6189204.0,7251173.0
0378.png,5634487.0,4674391.0,5043727.0,5121053.0,5344324.0,5564791.0,5761317.0,5156350.0,4177081.0,4613253.0,4088279.0,4525603.0,5632131.0
0379.png,3742195.0,3050042.0,3394486.0,3446990.0,3591600.0,3749937.0,3913703.0,3487991.0,2800108.0,2761700.0,2429944.0,4023825.0,4795650.0
0380.png,5286926.0,4237525.0,4492298.0,4559227.0,4736755.0,4959978.0,5198894.0,4745124.0,3740486.0,4143980.0,3594334.0,4098797.0,5189048.0
0381.png,3956986.0,3208227.0,3584764.0,3646145.0,3822603.0,4022162.0,4211942.0,3687674.0,2979234.0,2790572.0,2404788.0,4066851.0,4606882.0
0382.png,5924776.0,5552124.0,5710467.0,5750901.0,5853494.0,5956439.0,6061503.0,5484856.0,5203010.0,5723975.0,5529186.0,6024170.0,6873311.0
0383.png,4670192.0,3713822.0,4166873.0,4241970.0,4433502.0,4608674.0,4779324.0,4258637.0,3307959.0,3360611.0,2853085.0,4071646.0,4920259.0
