Algorithm,Cycle,Quality,BPP,FID,BD-rate
JPEG,N/A,10,0.32658894856770837,79.19703637251672,
JPEG,N/A,30,0.6597925821940104,24.067289284463868,
JPEG,N/A,50,0.9055209689670138,10.935234649771814,
JPEG,N/A,70,1.2387576633029516,5.592662331968086,
JPEG,N/A,90,2.3463228013780384,1.3499109589228055,
CRDR,First,0.0,0.10949028862847221,29.590231602480344,-74.36%
CRDR,Second,0.0,0.10505167643229167,40.200954728220836,-68.37%
CRDR,Third,0.0,0.103057861328125,48.07340517925917,-67.42%
CRDR,Fourth,0.0,0.10191853841145833,55.83286021015607,-65.34%
CRDR,First,1.0,0.204345703125,15.73209612889542,-74.36%
CRDR,Second,1.0,0.20014784071180558,23.39884991012184,-68.37%
CRDR,Third,1.0,0.19842190212673613,28.35491959667263,-67.42%
CRDR,Fourth,1.0,0.19768608940972224,33.165977025410996,-65.34%
CRDR,First,2.0,0.40242852105034715,10.06450205275712,-74.36%
CRDR,Second,2.0,0.3984578450520833,13.789809184207058,-68.37%
CRDR,Third,2.0,0.39713202582465273,15.775014412903829,-67.42%
CRDR,Fourth,2.0,0.3967556423611111,18.325821094743162,-65.34%
CRDR,First,3.0,0.732876247829861,4.556484277873665,-74.36%
CRDR,Second,3.0,0.728908962673611,6.5194200087452145,-68.37%
CRDR,Third,3.0,0.728725857204861,7.654341599434929,-67.42%
CRDR,Fourth,3.0,0.7290547688802084,9.53394497231966,-65.34%
CRDR,First,4.0,1.0503336588541667,2.962579808376802,-74.36%
CRDR,Second,4.0,1.0500895182291667,4.532504460595419,-68.37%
CRDR,Third,4.0,1.0532667371961806,5.877002115285563,-67.42%
CRDR,Fourth,4.0,1.056148952907986,7.177174806419941,-65.34%
