Algorithm,Mean L2 Distance (KB)
CRDR Beta 0.0,891.3435448763287
CRDR Beta 0.64,516.0526889785381
CRDR Beta 1.28,458.4298628245788
CRDR Beta 2.56,319.9832534936765
CRDR Beta 3.84,239.42513241933509
CRDR Beta 5.12,285.63545603734485
HiFiC-Med,403.55204645068994
Hyperprior,1193.817571542255
JPEG Q=70,1013.715046943466
JPEG Q=50,1356.9609235454684
MRIC Beta 0.0,476.921397753332
MRIC Beta 2.56,730.4738004601847
