Algorithm,Cycle,Quality,BPP,FID,BD-rate
VVC,N/A,24,0.998549567328559,9.043552187891407,
VVC,N/A,28,0.655289543999566,19.527256927991175,
VVC,N/A,32,0.40592108832465285,30.558202640961497,
VVC,N/A,36,0.23140292697482642,53.54667682814693,
VVC,N/A,40,0.1251313951280382,79.65180147389276,
CRDR,First,0.0,0.10949028862847221,31.307788277507314,-74.52%
CRDR,Second,0.0,0.10191853841145833,45.84180201445844,-57.43%
CRDR,Third,0.0,0.09778849283854167,58.030185524930516,-50.44%
CRDR,Fourth,0.0,0.09510294596354167,69.66706973915092,-41.84%
CRDR,First,1.0,0.204345703125,16.50024962498634,-74.52%
CRDR,Second,1.0,0.19625515407986108,27.325120711880004,-57.43%
CRDR,Third,1.0,0.19249131944444442,32.07131544609365,-50.44%
CRDR,Fourth,1.0,0.18985663519965276,37.971051260785885,-41.84%
CRDR,First,2.0,0.40242852105034715,10.06199382035038,-74.52%
CRDR,Second,2.0,0.3937818739149306,14.206710628906308,-57.43%
CRDR,Third,2.0,0.3899671766493055,17.37637879603392,-50.44%
CRDR,Fourth,2.0,0.3878343370225695,19.916892452391494,-41.84%
CRDR,First,3.0,0.732876247829861,4.5424915946456395,-74.52%
CRDR,Second,3.0,0.7231479220920138,6.550007584671221,-57.43%
CRDR,Third,3.0,0.719723171657986,8.66351185903585,-50.44%
CRDR,Fourth,3.0,0.7181871202256945,10.262877016397908,-41.84%
CRDR,First,4.0,1.0503336588541667,2.867400591999399,-74.52%
CRDR,Second,4.0,1.0407240125868056,4.444315920433553,-57.43%
CRDR,Third,4.0,1.0383199055989583,5.7922769012814115,-50.44%
CRDR,Fourth,4.0,1.0375467936197917,7.059972479337262,-41.84%
